LoB_1,LoB_2,Gaussian_Copula_Corr,Full_Sample_Empirical,Tail_Correlation_Worst100,Tail_vs_Gaussian_Multiplier
PropCat_XL,Specialty_Casualty,0.1,0.02743111283332747,0.02978568844382889,0.2978568844382889
PropCat_XL,Marine_Hull_Cargo,0.25,0.06177606220098361,-0.010831116564123914,-0.04332446625649566
PropCat_XL,Political_Violence,0.15,0.009734063861399024,-0.17957734545578138,-1.1971823030385427
PropCat_XL,Energy,0.3,0.07949391835657313,0.011358534846157944,0.037861782820526484
PropCat_XL,Cyber,0.2,0.05435076313017813,0.10569722667586914,0.5284861333793457
Specialty_Casualty,Marine_Hull_Cargo,0.15,0.10853244235816617,0.06947108340245162,0.46314055601634413
Specialty_Casualty,Political_Violence,0.1,0.006721890742717191,-0.03526076792559833,-0.3526076792559833
Specialty_Casualty,Energy,0.1,0.06821659846352943,0.05382870365004633,0.5382870365004633
Specialty_Casualty,Cyber,0.25,0.18777049690072428,0.19183032163740193,0.7673212865496077
Marine_Hull_Cargo,Political_Violence,0.2,0.020342174395024948,0.027117541634789046,0.13558770817394522
Marine_Hull_Cargo,Energy,0.35,0.2407655034936434,0.011415960844455772,0.03261703098415935
Marine_Hull_Cargo,Cyber,0.15,0.09594705484987254,-0.05043654402675928,-0.33624362684506187
Political_Violence,Energy,0.2,0.010029517856734331,-0.08425871007534211,-0.4212935503767105
Political_Violence,Cyber,0.1,0.012140117694287685,0.0028766889307390775,0.028766889307390773
Energy,Cyber,0.15,0.09258428771270337,-0.0019420198880560498,-0.012946799253707
