LoB,Basis,Mean_Loss,TVaR_Premium,Allocated_Capital_Adjusted,Wang_EL,Risk_Loading,Implied_ROAC_Pct,GWP
PropCat_XL,Net,8769.573889808296,391277.8944705043,351281.5864521169,56094.980817384436,47325.40692757614,13.472213959619845,25000
Specialty_Casualty,Net,8968.546213755093,55203.59480934709,18023.987011235695,19314.28067357359,10345.734459818497,57.39981089294632,20000
Marine_Hull_Cargo,Net,6193.215164499667,75742.8315203346,24324.904460467664,18254.724748699053,12061.509584199386,49.58502346351043,15000
Political_Violence,Net,3181.272965321579,372479.71256261185,338972.6948421951,61023.49378935061,57842.22082402903,17.063976451246855,12000
Energy,Net,7005.907076734102,113221.08330498474,48693.40816532994,22339.711542505407,15333.804465771305,31.49051389811955,18000
Cyber,Net,2786.5280315287296,19308.059253063,5305.044648393031,6886.102587865018,4099.574556336289,77.27690958412772,8000
